pressure,global_radiation,temp_mean,temp_min,temp_max,wind_speed,wind_bearing,normalized_label
989.1,0.34,7.8,6.1,9.2,8.05,260,1
989.1,0.34,7.8,6.1,9.2,1.22,158,1
989.1,0.34,7.8,6.1,9.2,9.66,160,1
989.1,0.34,7.8,6.1,9.2,12.88,240,1
989.1,0.85,9.4,7.4,11.0,3.22,270,0
989.1,0.85,9.4,7.4,11.0,8.05,260,0
989.1,0.85,9.4,7.4,11.0,1.22,158,0
989.1,0.85,9.4,7.4,11.0,9.66,160,0
989.1,0.85,9.4,7.4,11.0,12.88,240,0
989.1,0.35,8.3,6.5,11.2,3.22,270,0
989.1,0.35,8.3,6.5,11.2,8.05,260,0
989.1,0.35,8.3,6.5,11.2,1.22,158,0
989.1,0.35,8.3,6.5,11.2,9.66,160,0
989.1,0.35,8.3,6.5,11.2,12.88,240,0
989.1,0.47,6.1,4.3,8.5,3.22,270,0
989.1,0.47,6.1,4.3,8.5,8.05,260,0
989.1,0.47,6.1,4.3,8.5,1.22,158,0
989.1,0.47,6.1,4.3,8.5,9.66,160,0
989.1,0.47,6.1,4.3,8.5,12.88,240,0
989.2,0.33,10.6,6.7,12.5,17.71,290,2
989.3,0.34,7.5,6.3,9.6,0.0,0,1
989.3,0.66,11.1,9.4,13.3,0.0,0,0
989.4,0.15,3.4,0.3,5.1,3.22,180,0
989.4,0.15,3.4,0.3,5.1,12.88,150,0
989.4,0.15,3.4,0.3,5.1,4.83,130,0
989.4,0.12,11.2,10.1,11.2,3.22,180,0
989.4,0.12,11.2,10.1,11.2,12.88,150,0
989.4,0.12,11.2,10.1,11.2,4.83,130,0
989.4,0.33,4.7,4.2,6.1,3.22,180,0
989.4,0.33,4.7,4.2,6.1,12.88,150,0
989.4,0.33,4.7,4.2,6.1,4.83,130,0
989.4,0.56,8.6,8.2,6.0,3.22,180,0
989.4,0.56,8.6,8.2,6.0,12.88,150,0
989.4,0.56,8.6,8.2,6.0,4.83,130,0
989.4,0.68,8.3,5.0,11.7,3.22,180,0
989.4,0.68,8.3,5.0,11.7,12.88,150,0
989.4,0.68,8.3,5.0,11.7,4.83,130,0
989.5,0.18,10.4,5.7,15.1,6.44,260,1
989.5,0.37,10.0,6.7,10.4,6.44,260,0
989.5,0.15,6.6,3.7,7.6,6.44,260,0
989.6,0.39,3.1,-1.5,7.7,0.0,0,1
989.6,0.22,0.6,-2.8,3.9,0.0,0,0
989.7,1.19,9.7,6.6,12.7,25.76,120,2
989.7,1.19,9.7,6.6,12.7,22.54,280,2
989.7,0.82,9.8,6.3,11.6,25.76,120,2
989.7,0.82,9.8,6.3,11.6,22.54,280,2
989.7,0.61,3.9,1.2,4.7,25.76,120,2
989.7,0.61,3.9,1.2,4.7,22.54,280,2
989.8,0.13,7.6,5.5,10.0,28.18,289,2
989.8,0.13,7.6,5.5,10.0,23.59,253,2
989.8,0.21,4.5,0.4,7.7,28.18,289,2
989.8,0.21,4.5,0.4,7.7,23.59,253,2
989.8,0.73,1.5,-1.9,6.2,28.18,289,2
989.8,0.73,1.5,-1.9,6.2,23.59,253,2
989.8,0.05,8.3,6.2,10.4,28.18,289,2
989.8,0.05,8.3,6.2,10.4,23.59,253,2
989.9,2.09,15.2,12.0,19.8,13.57,71,0
989.9,0.87,8.0,5.1,10.5,13.57,71,0
989.9,0.28,6.2,3.4,8.6,13.57,71,0
989.9,0.09,-0.1,-0.8,0.9,13.57,71,0
989.9,0.51,6.6,4.7,9.7,13.57,71,0
990.0,1.46,9.7,6.5,12.5,6.44,180,0
990.0,0.84,7.9,5.5,10.4,6.44,180,0
990.0,0.3,9.3,6.9,11.7,6.44,180,0
990.0,0.88,7.6,3.4,12.9,6.44,180,0
990.0,0.11,1.4,-0.2,2.5,6.44,180,0
990.1,0.41,9.1,8.4,9.1,0.0,0,1
990.1,1.73,3.2,0.4,7.6,0.0,0,1
990.1,0.56,2.4,0.7,4.2,0.0,0,0
990.2,0.57,9.6,8.3,12.1,30.07,19,3
990.2,0.26,10.9,8.4,13.5,30.07,19,3
990.2,0.88,10.0,8.1,9.6,30.07,19,2
990.2,0.83,15.4,13.1,17.8,30.07,19,2
990.2,0.16,7.6,5.5,9.4,30.07,19,2
990.2,0.48,7.0,5.1,10.3,30.07,19,2
990.3,0.68,8.4,6.8,8.8,0.0,0,1
990.3,0.37,0.7,-4.8,4.1,0.0,0,1
990.3,1.63,6.8,4.3,10.3,0.0,0,0
990.3,0.85,10.3,7.6,12.2,0.0,0,0
990.3,0.16,7.7,5.7,10.0,0.0,0,0
990.4,0.18,8.9,7.8,10.5,0.0,0,0
990.4,0.5,16.2,14.7,17.8,0.0,0,0
990.4,0.92,8.4,5.5,11.3,0.0,0,0
990.4,0.52,2.1,-0.7,5.8,0.0,0,0
990.5,1.39,7.0,4.1,9.9,0.0,0,1
990.5,0.4,2.5,0.0,4.7,0.0,0,0
990.5,0.23,6.3,2.2,10.8,0.0,0,0
990.5,0.39,4.3,2.8,6.3,0.0,0,0
990.6,0.54,3.4,1.2,5.9,8.05,230,1
990.6,0.54,3.4,1.2,5.9,16.1,300,3
990.6,1.53,6.9,5.1,11.1,8.05,230,0
990.6,1.53,6.9,5.1,11.1,16.1,300,2
990.6,1.55,11.9,6.8,16.8,8.05,230,0
990.6,1.55,11.9,6.8,16.8,16.1,300,2
990.6,0.21,1.2,0.6,1.7,8.05,230,0
990.6,0.21,1.2,0.6,1.7,16.1,300,2
990.6,0.82,9.4,5.6,12.5,8.05,230,0
990.6,0.82,9.4,5.6,12.5,16.1,300,2
990.7,0.27,4.4,2.1,6.8,16.1,140,3
990.7,0.27,4.4,2.1,6.8,26.85,170,3
990.7,0.14,0.1,-5.3,5.9,16.1,140,2
990.7,0.14,0.1,-5.3,5.9,26.85,170,2
990.7,0.2,9.8,7.6,10.6,16.1,140,2
990.7,0.2,9.8,7.6,10.6,26.85,170,2
990.7,0.12,3.6,0.7,6.5,16.1,140,2
990.7,0.12,3.6,0.7,6.5,26.85,170,2
990.7,0.94,2.3,-0.4,7.0,16.1,140,2
990.7,0.94,2.3,-0.4,7.0,26.85,170,2
990.8,0.89,2.0,-1.0,4.8,8.05,170,1
990.8,0.89,2.0,-1.0,4.8,12.88,160,1
990.8,0.89,2.0,-1.0,4.8,23.47,170,3
990.8,0.73,10.7,4.6,15.0,8.05,170,0
990.8,0.73,10.7,4.6,15.0,12.88,160,0
990.8,0.73,10.7,4.6,15.0,23.47,170,2
990.8,0.22,7.1,5.1,9.4,8.05,170,0
990.8,0.22,7.1,5.1,9.4,12.88,160,0
990.8,0.22,7.1,5.1,9.4,23.47,170,2
990.9,1.19,4.1,1.0,9.2,9.66,210,0
990.9,1.19,4.1,1.0,9.2,25.76,110,2
990.9,1.19,4.1,1.0,9.2,15.92,195,2
990.9,1.19,4.1,1.0,9.2,14.73,195,0
990.9,0.37,10.4,8.4,11.5,9.66,210,0
990.9,0.37,10.4,8.4,11.5,25.76,110,2
990.9,0.37,10.4,8.4,11.5,15.92,195,2
990.9,0.37,10.4,8.4,11.5,14.73,195,0
990.9,0.75,13.0,9.5,14.9,9.66,210,0
990.9,0.75,13.0,9.5,14.9,25.76,110,2
990.9,0.75,13.0,9.5,14.9,15.92,195,2
990.9,0.75,13.0,9.5,14.9,14.73,195,0
990.9,1.17,6.4,3.6,10.2,9.66,210,0
990.9,1.17,6.4,3.6,10.2,25.76,110,2
990.9,1.17,6.4,3.6,10.2,15.92,195,2
990.9,1.17,6.4,3.6,10.2,14.73,195,0
990.9,0.44,12.4,10.9,13.8,9.66,210,0
990.9,0.44,12.4,10.9,13.8,25.76,110,2
990.9,0.44,12.4,10.9,13.8,15.92,195,2
990.9,0.44,12.4,10.9,13.8,14.73,195,0
990.9,0.17,8.0,7.2,9.3,9.66,210,0
990.9,0.17,8.0,7.2,9.3,25.76,110,2
990.9,0.17,8.0,7.2,9.3,15.92,195,2
990.9,0.17,8.0,7.2,9.3,14.73,195,0
990.9,0.53,14.1,11.9,17.2,9.66,210,0
990.9,0.53,14.1,11.9,17.2,25.76,110,2
990.9,0.53,14.1,11.9,17.2,15.92,195,2
990.9,0.53,14.1,11.9,17.2,14.73,195,0
991.0,0.32,7.8,6.5,10.0,0.0,0,0
